ENSG00000251562,ENSG00000167996,ENSG00000087086,ENSG00000198804,target_type
5.7443233,6.005253,6.0660057,4.7678156,macrophage
4.67272,4.5683975,5.228322,5.228322,classical monocyte
4.120083,6.952475,2.0646212,4.7105837,myeloid dendritic cell
5.034741,5.0846834,5.1039824,4.5248394,classical monocyte
5.4760633,5.757082,5.470453,4.8413076,non-classical monocyte
4.821403,5.629499,4.8360996,4.7603564,classical monocyte
5.564864,5.5227695,5.4862843,4.854794,non-classical monocyte
5.4560313,6.1563234,6.9024215,5.0051565,macrophage
4.0795426,5.297687,3.4329321,4.558523,conventional dendritic cell
5.0083623,5.46543,6.139434,4.895835,macrophage
5.9170966,5.4520397,6.558848,4.5277333,macrophage
4.9237604,5.745632,4.544156,4.653393,classical monocyte
4.2587147,5.2269487,3.2570956,4.721551,conventional dendritic cell
4.303264,6.336749,4.5188622,4.7891226,classical monocyte
4.2646537,6.2351007,2.9637294,4.9741135,conventional dendritic cell
4.156557,5.1603436,3.7100763,4.6415815,conventional dendritic cell
4.428545,4.945557,5.1518617,4.611927,classical monocyte
4.334548,5.837883,3.2944367,4.207728,conventional dendritic cell
5.1465073,5.188379,5.167662,5.033449,classical monocyte
4.441269,6.4600716,4.4234643,5.4771605,conventional dendritic cell
4.502685,5.2466655,4.824106,4.4519744,classical monocyte
5.373152,4.0363936,5.373152,5.09921,classical monocyte
3.980007,5.7704163,3.5624793,5.073259,conventional dendritic cell
5.651552,6.157482,6.094083,4.6740856,macrophage
5.221364,6.3450522,3.4816957,4.715387,conventional dendritic cell
5.4019475,5.2051077,5.0544553,4.959783,conventional dendritic cell
5.2081375,6.0648007,4.8341584,5.3274784,classical monocyte
5.528292,5.9023604,5.626822,4.7192445,macrophage
4.176521,5.9052763,5.140372,4.721172,classical monocyte
5.1627183,4.7823944,5.206921,4.906572,classical monocyte
4.028155,7.0975013,4.5514235,4.661538,alternatively activated macrophage
5.0366993,6.0744796,5.9212503,4.9411273,classical monocyte
5.3819337,5.695318,5.585566,4.701667,non-classical monocyte
